payment_id,transaction_id,payment_date,method,amount_usd
PAY_00037,TX_04432,2024-04-23 04:51:21,PayPal,285
PAY_00038,TX_00570,2024-09-19 18:57:40,PayPal,362
PAY_00039,TX_04695,2024-07-13 04:50:19,PayPal,280
PAY_00040,TX_01147,2024-06-02 03:35:07,Credit Card,74
PAY_00041,TX_03775,2024-11-01 00:29:04,Bank Transfer,301
PAY_00042,TX_00865,2024-05-22 04:58:02,PayPal,279
PAY_00043,TX_04901,2024-07-11 13:13:37,PayPal,382
PAY_00044,TX_04410,2024-09-29 11:44:52,PayPal,302
PAY_00045,TX_00028,2024-07-31 07:47:36,Bank Transfer,249
PAY_00046,TX_01030,2024-03-15 00:51:06,Bank Transfer,145
PAY_00047,TX_01997,2024-01-10 09:59:09,Credit Card,461
PAY_00048,TX_01342,2024-06-03 05:32:27,Credit Card,278
PAY_00049,TX_01249,2024-03-15 20:27:07,Credit Card,69
PAY_00050,TX_02137,2024-02-14 18:53:32,Bank Transfer,243
PAY_00051,TX_02088,2024-08-09 13:41:56,Credit Card,400
PAY_00052,TX_00681,2024-10-29 19:11:32,Credit Card,301
PAY_00053,TX_00375,2024-11-05 08:28:00,PayPal,165
PAY_00054,TX_03370,2024-09-23 08:07:32,Bank Transfer,410
PAY_00055,TX_03046,2024-10-18 23:52:23,Credit Card,392
PAY_00056,TX_02338,2024-08-05 07:19:20,Credit Card,64
PAY_00057,TX_00806,2024-07-06 18:15:21,Bank Transfer,416
PAY_00058,TX_03040,2024-05-01 22:42:26,Credit Card,281
PAY_00059,TX_00279,2024-06-27 15:04:35,Bank Transfer,438
PAY_00060,TX_01406,2024-05-25 19:49:58,Bank Transfer,498
PAY_00061,TX_00788,2024-01-02 16:30:46,Bank Transfer,253
PAY_00062,TX_01333,2024-10-19 11:10:40,Credit Card,72
PAY_00063,TX_04373,2024-04-03 07:21:14,Credit Card,254
PAY_00064,TX_03148,2024-08-11 04:05:57,Credit Card,215
PAY_00065,TX_02346,2024-11-10 11:06:20,Bank Transfer,445
PAY_00066,TX_03450,2024-01-19 05:55:55,Credit Card,23
PAY_00067,TX_00433,2024-06-13 08:30:21,PayPal,79
PAY_00068,TX_01010,2024-11-13 08:37:51,Bank Transfer,192
PAY_00069,TX_03850,2024-02-13 15:36:24,Credit Card,91
PAY_00070,TX_00317,2024-08-04 01:13:08,Bank Transfer,94
PAY_00071,TX_04217,2024-07-27 14:41:59,Credit Card,341
PAY_00072,TX_01366,2024-01-15 05:56:42,Bank Transfer,485
PAY_00073,TX_04400,2024-04-23 06:26:39,PayPal,485
PAY_00074,TX_00936,2024-10-23 21:40:57,Bank Transfer,41
PAY_00075,TX_03519,2024-11-22 05:35:06,Bank Transfer,415
PAY_00076,TX_03788,2024-07-15 04:49:44,Bank Transfer,228
PAY_00077,TX_02769,2024-09-21 03:03:21,Credit Card,70
PAY_00078,TX_00496,2024-03-31 17:34:49,Bank Transfer,164
PAY_00079,TX_03593,2024-01-17 22:33:48,Credit Card,439
PAY_00080,TX_02233,2024-08-26 22:18:10,Bank Transfer,368
PAY_00081,TX_04019,2024-07-08 17:06:24,Credit Card,324
PAY_00082,TX_02936,2024-06-15 21:28:29,Credit Card,291
PAY_00083,TX_04809,2024-02-15 20:41:53,Credit Card,478
PAY_00084,TX_04446,2024-04-22 13:34:28,Credit Card,63
PAY_00085,TX_02368,2024-04-13 16:57:19,Bank Transfer,126
PAY_00086,TX_02585,2024-01-14 23:26:21,Bank Transfer,169
PAY_00087,TX_00906,2024-04-03 15:46:33,Credit Card,113
PAY_00088,TX_03228,2024-11-22 07:42:46,Credit Card,283
PAY_00089,TX_01828,2024-03-19 07:02:39,Credit Card,129
PAY_00090,TX_03723,2024-07-15 00:52:26,PayPal,37
PAY_00091,TX_02581,2024-01-14 14:14:13,PayPal,257
PAY_00092,TX_04598,2024-09-27 09:57:23,Bank Transfer,355
PAY_00093,TX_01516,2024-04-23 23:45:02,PayPal,258
PAY_00094,TX_04623,2024-08-23 00:38:00,PayPal,393
PAY_00095,TX_04807,2024-05-25 03:07:58,Credit Card,231
PAY_00096,TX_03004,2024-08-26 19:40:59,Credit Card,250
PAY_00097,TX_00112,2024-10-02 03:03:54,PayPal,347
PAY_00098,TX_01673,2024-05-23 15:27:43,PayPal,369
PAY_00099,TX_02303,2024-11-22 03:46:11,PayPal,313
PAY_00100,TX_01651,2024-12-28 08:51:46,Credit Card,432
PAY_00101,TX_04396,2024-11-20 22:49:30,Bank Transfer,480
PAY_00102,TX_02475,2024-10-15 07:42:12,PayPal,100
PAY_00103,TX_03996,2024-07-21 12:36:51,Bank Transfer,274
PAY_00104,TX_01891,2024-10-02 09:17:53,Bank Transfer,251
PAY_00105,TX_00307,2024-10-18 10:41:54,PayPal,382
PAY_00106,TX_00121,2024-05-08 06:47:55,Bank Transfer,228
PAY_00107,TX_03102,2024-02-28 06:05:21,Credit Card,476
PAY_00108,TX_01278,2024-12-27 02:42:40,PayPal,405
PAY_00109,TX_01428,2024-11-20 18:40:49,PayPal,462
PAY_00110,TX_03103,2024-09-20 17:51:55,PayPal,317
PAY_00111,TX_01186,2024-10-17 16:56:39,PayPal,393
PAY_00112,TX_01456,2024-10-02 01:45:43,Credit Card,491
PAY_00113,TX_01180,2024-01-30 03:22:35,Credit Card,40
PAY_00114,TX_01347,2024-02-24 13:52:41,Bank Transfer,257
PAY_00115,TX_00629,2024-01-20 13:08:37,PayPal,405
PAY_00116,TX_01215,2024-12-24 21:51:22,PayPal,280
PAY_00117,TX_01962,2024-05-24 05:58:51,Bank Transfer,292
PAY_00118,TX_02996,2024-03-30 11:06:50,Credit Card,299
PAY_00119,TX_04613,2024-09-19 19:27:22,PayPal,411
PAY_00120,TX_04941,2024-08-12 02:09:58,Bank Transfer,433
PAY_00121,TX_01548,2024-10-21 10:01:10,Credit Card,453
PAY_00122,TX_04916,2024-07-11 06:53:15,Bank Transfer,169
PAY_00123,TX_02859,2024-02-02 22:59:38,Bank Transfer,334
PAY_00124,TX_00762,2024-10-01 06:41:11,Credit Card,171
PAY_00125,TX_02367,2024-05-06 09:55:04,PayPal,301
PAY_00126,TX_04207,2024-05-12 22:03:25,Credit Card,80
PAY_00127,TX_01842,2024-09-01 00:30:15,PayPal,155
PAY_00128,TX_04903,2024-01-04 08:31:46,Credit Card,31
PAY_00129,TX_01497,2024-10-13 18:10:47,PayPal,33
PAY_00130,TX_03920,2024-10-17 11:17:06,PayPal,49
PAY_00131,TX_03089,2024-04-28 03:41:41,Bank Transfer,458
PAY_00132,TX_01244,2024-03-31 17:31:34,Bank Transfer,374
PAY_00133,TX_04583,2024-01-13 06:45:43,PayPal,464
PAY_00134,TX_04907,2024-12-25 00:18:49,Credit Card,337
PAY_00135,TX_02044,2024-03-31 21:58:45,PayPal,306
PAY_00136,TX_03377,2024-01-13 05:10:33,Credit Card,239
PAY_00137,TX_00517,2024-01-22 23:56:51,PayPal,257
PAY_00138,TX_00835,2024-12-21 20:37:27,Credit Card,46
PAY_00139,TX_00624,2024-09-12 12:49:42,Bank Transfer,276
PAY_00140,TX_01048,2024-07-17 05:55:05,Credit Card,316
PAY_00141,TX_01565,2024-10-15 14:39:10,Bank Transfer,161
PAY_00142,TX_03983,2024-06-20 07:08:55,Credit Card,269
PAY_00143,TX_00497,2024-10-24 08:42:04,Bank Transfer,93
PAY_00144,TX_02430,2024-01-01 16:24:09,Credit Card,453
PAY_00145,TX_02264,2024-01-09 15:28:38,PayPal,317
PAY_00146,TX_00543,2024-07-05 02:46:10,Credit Card,218
PAY_00147,TX_00916,2024-06-06 00:24:02,Bank Transfer,315
PAY_00148,TX_01802,2024-08-06 21:44:08,Bank Transfer,33
PAY_00149,TX_03083,2024-05-23 06:14:07,Credit Card,119
PAY_00150,TX_00082,2024-07-07 01:58:37,PayPal,110
PAY_00151,TX_01180,2024-07-30 16:03:43,Credit Card,414
PAY_00152,TX_00166,2024-10-23 10:28:22,Credit Card,210
PAY_00153,TX_02256,2024-08-09 03:53:15,Bank Transfer,381
PAY_00154,TX_02072,2024-03-26 17:12:00,PayPal,324
PAY_00155,TX_00807,2024-03-30 07:55:27,PayPal,440
PAY_00156,TX_02739,2024-02-15 22:35:06,PayPal,125
PAY_00157,TX_00332,2024-07-03 16:37:20,PayPal,413
PAY_00158,TX_03591,2024-04-08 10:28:21,Credit Card,457
PAY_00159,TX_01535,2024-12-03 20:52:12,PayPal,26
PAY_00160,TX_00181,2024-03-16 20:10:41,PayPal,100
PAY_00161,TX_01317,2024-12-09 06:27:18,PayPal,272
PAY_00162,TX_01107,2024-11-03 19:43:03,Bank Transfer,159
PAY_00163,TX_01590,2024-09-13 09:56:14,Bank Transfer,376
PAY_00164,TX_02487,2024-08-07 23:34:04,Bank Transfer,330
PAY_00165,TX_02591,2024-11-04 12:13:16,PayPal,439
PAY_00166,TX_02241,2024-12-19 12:55:43,Credit Card,26
PAY_00167,TX_00488,2024-08-08 19:16:44,Credit Card,171
PAY_00168,TX_00612,2024-12-04 16:51:42,Bank Transfer,309
PAY_00169,TX_03421,2024-12-18 04:06:23,Bank Transfer,145
PAY_00170,TX_03195,2024-11-22 11:47:00,PayPal,468
PAY_00171,TX_01398,2024-08-14 19:36:41,Bank Transfer,304
PAY_00172,TX_01457,2024-05-10 20:08:35,Bank Transfer,301
PAY_00173,TX_02194,2024-02-15 22:13:44,Bank Transfer,93
PAY_00174,TX_03075,2024-02-09 12:49:59,Bank Transfer,468
PAY_00175,TX_01338,2024-08-11 18:07:48,Credit Card,64
PAY_00176,TX_04423,2024-04-05 23:32:28,PayPal,36
PAY_00177,TX_02201,2024-11-30 16:48:16,Credit Card,252
PAY_00178,TX_04498,2024-08-10 11:16:55,Bank Transfer,183
PAY_00179,TX_02868,2024-12-29 01:22:15,PayPal,476
PAY_00180,TX_04584,2024-02-07 19:36:54,PayPal,82
PAY_00181,TX_03883,2024-12-15 13:05:10,Credit Card,426
PAY_00182,TX_02115,2024-02-10 16:23:59,Credit Card,112
PAY_00183,TX_02137,2024-02-14 16:08:55,Bank Transfer,341
PAY_00184,TX_00079,2024-08-12 16:08:32,Credit Card,485
PAY_00185,TX_00378,2024-08-05 01:29:18,Bank Transfer,111
PAY_00186,TX_00165,2024-06-29 05:49:47,Bank Transfer,392
PAY_00187,TX_04845,2024-01-21 09:43:14,Bank Transfer,61
PAY_00188,TX_01721,2024-06-13 10:32:03,PayPal,260
PAY_00189,TX_02985,2024-03-26 08:49:30,PayPal,346
PAY_00190,TX_00155,2024-08-20 19:12:41,Credit Card,274
PAY_00191,TX_01147,2024-04-12 14:17:02,Credit Card,350
PAY_00192,TX_01064,2024-02-21 18:41:15,PayPal,90
PAY_00193,TX_02217,2024-10-01 23:33:45,Credit Card,318
PAY_00194,TX_02840,2024-01-20 16:03:15,Bank Transfer,235
PAY_00195,TX_01464,2024-05-29 08:35:17,Bank Transfer,330
PAY_00196,TX_03471,2024-08-07 02:56:56,PayPal,75
PAY_00197,TX_01517,2024-05-19 20:28:29,Credit Card,98
PAY_00198,TX_03051,2024-05-08 11:46:05,Credit Card,434
PAY_00199,TX_04424,2024-04-02 09:38:20,PayPal,358
PAY_00200,TX_01527,2024-11-20 16:28:08,Bank Transfer,459
PAY_00201,TX_03611,2024-08-03 03:19:58,Bank Transfer,140
PAY_00202,TX_02393,2024-03-07 16:08:53,Credit Card,221
PAY_00203,TX_00789,2024-09-24 04:22:12,PayPal,451
PAY_00204,TX_02549,2024-10-31 04:49:38,PayPal,455
PAY_00205,TX_04658,2024-06-22 14:30:38,Bank Transfer,347
PAY_00206,TX_04609,2024-02-16 04:06:26,Bank Transfer,276
PAY_00207,TX_00516,2024-04-07 03:59:32,Credit Card,149
PAY_00208,TX_03063,2024-03-23 03:38:20,PayPal,368
PAY_00209,TX_04763,2024-09-12 11:44:25,Credit Card,61
PAY_00210,TX_01568,2024-04-06 19:54:33,Credit Card,93
PAY_00211,TX_01449,2024-09-17 10:58:54,PayPal,253
PAY_00212,TX_00967,2024-12-02 08:35:28,PayPal,28
PAY_00213,TX_00364,2024-10-27 16:16:37,Bank Transfer,389
PAY_00214,TX_00108,2024-12-23 03:51:18,PayPal,50
PAY_00215,TX_03095,2024-05-06 21:01:37,Credit Card,115
PAY_00216,TX_00623,2024-03-01 10:21:22,Credit Card,277
PAY_00217,TX_04417,2024-04-16 17:38:01,PayPal,299
PAY_00218,TX_00510,2024-10-10 05:46:16,Credit Card,248
PAY_00219,TX_01065,2024-06-22 10:39:03,PayPal,264
PAY_00220,TX_03866,2024-10-24 23:27:47,Bank Transfer,446
PAY_00221,TX_00304,2024-05-14 15:17:30,Bank Transfer,217
PAY_00222,TX_00969,2024-11-01 20:43:39,PayPal,475
PAY_00223,TX_01439,2024-03-20 05:27:51,Credit Card,251
PAY_00224,TX_03522,2024-02-11 12:35:19,PayPal,492
PAY_00225,TX_03872,2024-09-20 21:30:37,PayPal,318
PAY_00226,TX_03501,2024-04-03 18:57:57,Bank Transfer,70
PAY_00227,TX_02200,2024-04-01 14:36:13,PayPal,236
PAY_00228,TX_04355,2024-02-08 05:05:04,Bank Transfer,193
PAY_00229,TX_03902,2024-11-17 07:46:41,Bank Transfer,94
PAY_00230,TX_02271,2024-06-17 01:17:07,PayPal,118
PAY_00231,TX_00230,2024-07-03 22:29:55,PayPal,20
PAY_00232,TX_02487,2024-09-15 06:41:37,PayPal,143
PAY_00233,TX_00150,2024-06-15 23:01:53,PayPal,136
PAY_00234,TX_00910,2024-06-13 17:06:20,Bank Transfer,362
PAY_00235,TX_03529,2024-02-05 08:37:09,PayPal,214
PAY_00236,TX_00978,2024-06-16 22:31:16,Bank Transfer,252
PAY_00237,TX_00635,2024-10-30 03:57:39,Bank Transfer,148
PAY_00238,TX_04718,2024-05-02 08:12:53,Credit Card,393
PAY_00239,TX_02191,2024-02-13 03:53:07,Bank Transfer,82
PAY_00240,TX_04150,2024-01-28 15:30:32,Credit Card,255
PAY_00241,TX_04940,2024-06-21 02:30:50,PayPal,351
PAY_00242,TX_03475,2024-02-11 02:38:49,Credit Card,249
PAY_00243,TX_03781,2024-08-21 18:18:22,PayPal,209
PAY_00244,TX_01866,2024-05-18 03:32:06,Bank Transfer,208
PAY_00245,TX_00299,2024-08-30 12:58:06,Credit Card,187
PAY_00246,TX_02740,2024-09-26 12:07:30,PayPal,114
PAY_00247,TX_03726,2024-05-15 06:35:07,PayPal,176
PAY_00248,TX_03392,2024-07-11 04:56:25,Credit Card,310
PAY_00249,TX_04541,2024-01-18 00:05:23,Credit Card,367
PAY_00250,TX_00098,2024-01-17 18:02:56,PayPal,360
PAY_00251,TX_03198,2024-07-29 07:58:25,PayPal,414
PAY_00252,TX_02106,2024-12-28 19:30:27,Bank Transfer,493
PAY_00253,TX_04273,2024-03-27 09:55:24,PayPal,158
PAY_00254,TX_04815,2024-08-09 19:41:34,Credit Card,210
PAY_00255,TX_03523,2024-06-24 16:06:28,PayPal,472
PAY_00256,TX_04419,2024-05-12 21:31:39,PayPal,75
PAY_00257,TX_00846,2024-05-23 14:16:55,Credit Card,26
PAY_00258,TX_04186,2024-09-18 22:53:38,Bank Transfer,70
PAY_00259,TX_04227,2024-08-04 02:56:37,PayPal,498
PAY_00260,TX_03882,2024-10-01 20:37:36,Credit Card,58
PAY_00261,TX_01053,2024-04-13 00:52:08,Credit Card,317
PAY_00262,TX_03849,2024-10-15 09:36:30,Credit Card,91
PAY_00263,TX_03616,2024-02-14 13:06:35,Credit Card,275
PAY_00264,TX_03158,2024-03-02 16:56:32,Bank Transfer,328
PAY_00265,TX_02106,2024-10-03 04:02:09,Credit Card,110
PAY_00266,TX_00994,2024-11-25 05:41:52,PayPal,168
PAY_00267,TX_03097,2024-11-27 11:52:07,Bank Transfer,49
PAY_00268,TX_00190,2024-03-17 15:27:24,Credit Card,481
PAY_00269,TX_02124,2024-06-01 11:29:07,PayPal,142
PAY_00270,TX_02419,2024-07-14 18:15:45,Bank Transfer,404
PAY_00271,TX_04995,2024-02-14 21:16:38,PayPal,256
PAY_00272,TX_02899,2024-12-02 12:29:11,Bank Transfer,299
PAY_00273,TX_04602,2024-02-21 10:27:43,Credit Card,144
PAY_00274,TX_01967,2024-07-04 12:30:00,PayPal,153
PAY_00275,TX_04279,2024-07-20 07:52:14,Credit Card,25
PAY_00276,TX_04250,2024-08-06 13:20:15,Bank Transfer,402
PAY_00277,TX_03412,2024-01-21 17:49:08,Credit Card,392
PAY_00278,TX_03947,2024-01-02 23:53:01,Credit Card,216
PAY_00279,TX_01047,2024-02-21 17:58:26,PayPal,209
PAY_00280,TX_02574,2024-01-21 18:01:04,Credit Card,310
PAY_00281,TX_00606,2024-12-22 10:55:26,Credit Card,403
PAY_00282,TX_01367,2024-01-05 18:05:43,Credit Card,255
PAY_00283,TX_02927,2024-04-01 08:46:36,Bank Transfer,98
PAY_00284,TX_01959,2024-07-30 01:29:49,PayPal,54
PAY_00285,TX_01065,2024-03-13 19:48:21,PayPal,323
PAY_00286,TX_00518,2024-04-20 08:31:00,Credit Card,389
PAY_00287,TX_02455,2024-02-04 06:43:40,PayPal,380
PAY_00288,TX_04234,2024-02-02 03:15:02,Bank Transfer,91
PAY_00289,TX_03808,2024-09-05 06:33:08,Bank Transfer,62
PAY_00290,TX_02590,2024-04-25 12:14:50,Credit Card,310
PAY_00291,TX_02273,2024-10-08 12:53:40,Credit Card,152
PAY_00292,TX_02309,2024-01-01 16:20:27,Bank Transfer,306
PAY_00293,TX_01103,2024-05-29 19:07:25,Bank Transfer,125
PAY_00294,TX_04793,2024-08-13 23:16:10,Bank Transfer,178
PAY_00295,TX_00811,2024-01-08 04:30:14,Credit Card,376
PAY_00296,TX_03764,2024-03-09 05:34:05,Bank Transfer,27
PAY_00297,TX_04569,2024-09-20 21:25:19,Credit Card,281
PAY_00298,TX_00077,2024-02-29 04:29:30,Bank Transfer,362
PAY_00299,TX_02310,2024-07-05 13:32:37,Bank Transfer,456
PAY_00300,TX_01026,2024-06-18 17:28:09,PayPal,99
PAY_00301,TX_02065,2024-01-06 00:07:37,Bank Transfer,63
PAY_00302,TX_04440,2024-02-04 20:01:00,Credit Card,196
PAY_00303,TX_02742,2024-04-30 07:28:59,Bank Transfer,411
PAY_00304,TX_04942,2024-05-14 05:18:53,PayPal,83
PAY_00305,TX_04000,2024-01-29 02:47:27,Bank Transfer,407
PAY_00306,TX_03229,2024-03-26 14:23:22,Bank Transfer,307
PAY_00307,TX_04270,2024-09-02 13:32:24,Bank Transfer,328
PAY_00308,TX_03559,2024-04-13 12:34:01,Credit Card,132
PAY_00309,TX_00846,2024-07-28 10:50:41,Bank Transfer,470
PAY_00310,TX_00693,2024-08-21 12:47:09,Bank Transfer,338
PAY_00311,TX_04049,2024-05-31 06:57:10,Bank Transfer,389
PAY_00312,TX_01333,2024-01-22 08:41:52,PayPal,227
PAY_00313,TX_03038,2024-03-12 16:08:23,Credit Card,463
PAY_00314,TX_04333,2024-07-25 15:34:23,Credit Card,245
PAY_00315,TX_01275,2024-10-03 08:18:27,PayPal,352
PAY_00316,TX_01245,2024-04-26 05:49:59,Credit Card,436
PAY_00317,TX_00338,2024-08-16 22:48:23,PayPal,297
PAY_00318,TX_03295,2024-04-05 02:56:19,Bank Transfer,402
PAY_00319,TX_00337,2024-01-10 05:54:43,Credit Card,306
PAY_00320,TX_01868,2024-03-09 13:12:36,Bank Transfer,299
PAY_00321,TX_04006,2024-11-25 01:40:54,Bank Transfer,22
PAY_00322,TX_00495,2024-07-08 05:32:21,Credit Card,52
PAY_00323,TX_04643,2024-01-22 05:22:13,Bank Transfer,497
PAY_00324,TX_03887,2024-02-16 04:33:22,Bank Transfer,429
PAY_00325,TX_00161,2024-06-02 18:04:08,PayPal,326
PAY_00326,TX_02037,2024-03-18 14:13:22,Credit Card,233
PAY_00327,TX_01742,2024-08-07 11:13:44,Bank Transfer,49
PAY_00328,TX_01508,2024-02-25 00:20:04,PayPal,438
PAY_00329,TX_03561,2024-09-16 06:22:19,Credit Card,44
PAY_00330,TX_01376,2024-01-21 02:08:46,Bank Transfer,47
PAY_00331,TX_01554,2024-03-07 10:59:19,Bank Transfer,116
PAY_00332,TX_02282,2024-02-29 03:36:24,Bank Transfer,106
PAY_00333,TX_01869,2024-10-04 02:45:10,Bank Transfer,45
PAY_00334,TX_01602,2024-04-08 19:58:49,Bank Transfer,139
PAY_00335,TX_03828,2024-06-03 02:05:02,Credit Card,220
PAY_00336,TX_03481,2024-01-21 02:16:32,Credit Card,411
PAY_00337,TX_01300,2024-05-23 17:55:51,PayPal,376
PAY_00338,TX_00711,2024-01-04 02:48:54,PayPal,372
PAY_00339,TX_04168,2024-05-01 01:05:39,PayPal,34
PAY_00340,TX_02047,2024-11-13 14:05:41,Credit Card,324
PAY_00341,TX_02882,2024-07-17 23:14:23,Credit Card,273
PAY_00342,TX_01818,2024-12-27 09:32:33,Credit Card,130
PAY_00343,TX_02199,2024-08-20 06:19:47,Bank Transfer,27
PAY_00344,TX_03333,2024-12-28 07:40:55,Credit Card,458
PAY_00345,TX_01104,2024-02-15 12:16:09,Credit Card,360
PAY_00346,TX_03178,2024-04-08 09:54:59,Bank Transfer,147
PAY_00347,TX_03595,2024-09-20 17:30:05,PayPal,205
PAY_00348,TX_03475,2024-07-20 04:24:03,PayPal,406
PAY_00349,TX_04816,2024-11-25 16:53:35,PayPal,412
PAY_00350,TX_02178,2024-07-04 01:04:29,Bank Transfer,33
PAY_00351,TX_01195,2024-06-27 21:29:35,Bank Transfer,249
PAY_00352,TX_04502,2024-06-09 18:09:47,Bank Transfer,110
PAY_00353,TX_00536,2024-02-14 19:32:25,Credit Card,423
PAY_00354,TX_01070,2024-10-27 23:47:04,PayPal,23
PAY_00355,TX_04370,2024-06-16 18:03:54,Bank Transfer,171
PAY_00356,TX_00133,2024-03-25 20:48:33,Bank Transfer,238
PAY_00357,TX_00264,2024-01-31 21:44:47,PayPal,95
PAY_00358,TX_04463,2024-04-25 04:40:22,PayPal,303
PAY_00359,TX_02053,2024-05-18 21:29:54,Credit Card,374
PAY_00360,TX_04947,2024-06-22 19:39:23,PayPal,235
PAY_00361,TX_04090,2024-10-01 23:30:56,Bank Transfer,178
PAY_00362,TX_02848,2024-06-01 20:12:27,Credit Card,270
PAY_00363,TX_00358,2024-08-06 22:01:02,PayPal,86
PAY_00364,TX_04421,2024-10-31 21:16:31,Credit Card,241
PAY_00365,TX_00751,2024-06-18 02:50:10,Bank Transfer,211
PAY_00366,TX_03251,2024-10-20 21:06:41,Bank Transfer,238
PAY_00367,TX_04352,2024-07-23 22:00:06,Bank Transfer,392
PAY_00368,TX_02259,2024-10-13 06:57:09,Bank Transfer,36
PAY_00369,TX_00911,2024-07-19 17:14:08,Credit Card,409
PAY_00370,TX_03811,2024-04-28 04:36:42,Credit Card,126
PAY_00371,TX_00584,2024-09-16 15:11:07,Bank Transfer,485
PAY_00372,TX_03439,2024-09-27 14:01:16,Credit Card,463
PAY_00373,TX_00577,2024-10-09 02:10:15,Bank Transfer,246
PAY_00374,TX_02577,2024-12-30 22:36:56,Bank Transfer,494
PAY_00375,TX_01872,2024-10-06 23:00:16,PayPal,100
PAY_00376,TX_01153,2024-03-19 06:51:48,Credit Card,286
PAY_00377,TX_04991,2024-10-24 17:45:42,PayPal,185
PAY_00378,TX_01784,2024-03-03 18:45:37,Bank Transfer,376
PAY_00379,TX_01094,2024-01-28 08:40:07,PayPal,253
PAY_00380,TX_02100,2024-09-19 19:18:47,Bank Transfer,181
PAY_00381,TX_04533,2024-11-14 14:32:57,Bank Transfer,194
PAY_00382,TX_02142,2024-01-16 01:48:57,Bank Transfer,179
PAY_00383,TX_02134,2024-09-27 22:05:48,Credit Card,382
PAY_00384,TX_00518,2024-05-29 13:50:31,Bank Transfer,395
PAY_00385,TX_00742,2024-09-30 12:33:47,Bank Transfer,204
PAY_00386,TX_02478,2024-09-28 16:50:55,Credit Card,193
PAY_00387,TX_04959,2024-01-06 09:46:51,Credit Card,257
PAY_00388,TX_02877,2024-11-17 16:40:21,Bank Transfer,182
PAY_00389,TX_00043,2024-11-09 18:53:09,Credit Card,495
PAY_00390,TX_03442,2024-08-18 01:45:38,Bank Transfer,425
PAY_00391,TX_00404,2024-06-10 02:54:09,PayPal,419
PAY_00392,TX_01327,2024-12-09 07:33:24,Credit Card,257
PAY_00393,TX_02217,2024-03-02 14:47:52,PayPal,125
PAY_00394,TX_02150,2024-01-16 19:44:51,Bank Transfer,137
PAY_00395,TX_02394,2024-01-18 23:08:14,Credit Card,251
PAY_00396,TX_02651,2024-05-11 02:56:20,Credit Card,95
PAY_00397,TX_04538,2024-09-21 01:48:31,Bank Transfer,24
PAY_00398,TX_04346,2024-05-19 02:03:33,Credit Card,237
PAY_00399,TX_00878,2024-11-21 03:10:50,Credit Card,301
PAY_00400,TX_01887,2024-06-10 20:27:17,Credit Card,352
PAY_00401,TX_01304,2024-08-01 06:51:27,PayPal,427
PAY_00402,TX_01741,2024-05-23 09:25:39,Bank Transfer,255
PAY_00403,TX_01113,2024-12-13 11:51:41,Bank Transfer,342
PAY_00404,TX_03877,2024-09-02 15:53:55,Bank Transfer,51
PAY_00405,TX_01899,2024-05-21 10:13:56,Credit Card,426
